"node_from","node_to","country","scaled_sci"
4,5,"AGO",3080984
5,7,"AGO",1504287
8,18,"AGO",1433149
17,18,"AGO",2174611
28,30,"AL",672714
34,48,"ARG",225866
37,38,"ARG",258722
43,50,"ARG",175971
55,56,"AT",1632315
55,57,"AT",1615017
55,59,"AT",617884
56,59,"AT",601187
57,72,"AT",2105036
58,60,"AT",768327
58,78,"AT",637370
60,61,"AT",650171
61,62,"AT",667986
62,63,"AT",863029
66,67,"AT",1838180
66,68,"AT",1626773
67,68,"AT",1006765
67,80,"AT",1291403
67,85,"AT",2609694
68,74,"AT",739828
69,72,"AT",896334
69,73,"AT",1162931
70,71,"AT",680502
71,74,"AT",1006478
72,73,"AT",990654
74,80,"AT",2957417
76,77,"AT",860041
80,81,"AT",1152605
80,82,"AT",960601
81,82,"AT",646856
83,84,"AT",622956
83,86,"AT",1309896
84,86,"AT",1275661
84,87,"AT",864605
88,89,"AT",1833651
91,96,"BDI",4161954
96,106,"BDI",4257043
98,102,"BDI",9188170
108,109,"BE",270256
109,110,"BE",246620
109,121,"BE",275197
111,112,"BE",635289
111,113,"BE",904121
111,121,"BE",316014
112,113,"BE",504517
114,115,"BE",519702
114,117,"BE",248765
114,118,"BE",581245
114,120,"BE",302426
115,117,"BE",343981
115,119,"BE",604452
116,117,"BE",787503
116,122,"BE",456291
116,128,"BE",229787
117,118,"BE",512637
117,119,"BE",227754
117,122,"BE",235263
117,125,"BE",236343
117,128,"BE",398799
118,125,"BE",520202
118,128,"BE",298339
118,131,"BE",336226
122,123,"BE",699064
122,126,"BE",701624
122,127,"BE",427689
122,128,"BE",500128
122,129,"BE",294471
123,124,"BE",1559201
123,125,"BE",284042
123,126,"BE",1119445
123,127,"BE",1321292
123,128,"BE",555299
123,129,"BE",1916709
124,125,"BE",673436
124,127,"BE",912606
124,128,"BE",325434
124,129,"BE",681765
124,134,"BE",355459
125,127,"BE",748337
125,128,"BE",790979
125,134,"BE",309171
126,127,"BE",261020
126,128,"BE",231482
126,129,"BE",802432
127,128,"BE",1362543
127,129,"BE",281667
130,135,"BE",215162
130,140,"BE",233950
130,149,"BE",280253
131,133,"BE",606784
131,135,"BE",559831
131,137,"BE",1323179
132,135,"BE",288845
132,136,"BE",538715
132,149,"BE",228836
132,150,"BE",450258
133,135,"BE",406268
133,136,"BE",324393
133,137,"BE",226483
134,137,"BE",819893
135,136,"BE",602072
136,150,"BE",1004038
138,139,"BE",538048
138,140,"BE",1115250
138,141,"BE",215046
138,145,"BE",521946
138,148,"BE",301336
138,149,"BE",327410
139,140,"BE",506374
139,141,"BE",433517
139,145,"BE",236615
140,149,"BE",220372
141,142,"BE",930091
141,144,"BE",454079
142,144,"BE",226802
143,144,"BE",714788
143,145,"BE",241742
143,146,"BE",800015
143,147,"BE",3051478
144,145,"BE",1483083
144,146,"BE",1851124
144,147,"BE",715447
144,148,"BE",255147
145,146,"BE",1005842
145,147,"BE",298774
145,148,"BE",1373080
145,149,"BE",217010
146,147,"BE",1619087
146,148,"BE",1097448
148,149,"BE",681851
148,150,"BE",466905
149,150,"BE",400123
164,165,"BG",609544
165,166,"BG",576371
167,168,"BG",588667
169,170,"BG",476667
171,172,"BG",392313
172,177,"BG",483086
176,177,"BG",418614
179,180,"BG",679468
184,186,"BG",456154
187,190,"BG",488588
192,193,"BGD",100415
192,194,"BGD",166349
192,195,"BGD",264485
192,196,"BGD",130219
192,197,"BGD",118603
193,195,"BGD",54670
193,196,"BGD",119648
194,195,"BGD",274480
194,196,"BGD",463862
194,197,"BGD",206192
195,196,"BGD",87155
195,197,"BGD",414197
196,218,"BGD",51618
197,226,"BGD",196120
197,230,"BGD",56251
198,200,"BGD",51260
198,202,"BGD",128375
198,205,"BGD",112729
198,206,"BGD",102676
200,206,"BGD",239517
201,203,"BGD",113167
201,204,"BGD",89336
202,205,"BGD",1617815
202,206,"BGD",516127
203,204,"BGD",111496
203,208,"BGD",77831
205,206,"BGD",533879
207,214,"BGD",50120
207,252,"BGD",55919
210,212,"BGD",91540
210,222,"BGD",159717
210,232,"BGD",84782
211,220,"BGD",60305
211,221,"BGD",56608
211,224,"BGD",66816
211,245,"BGD",50636
211,246,"BGD",52833
212,215,"BGD",296411
212,226,"BGD",102224
212,230,"BGD",54381
212,234,"BGD",89748
